distrito,provincia,poblacion_total,area_km2,densidad_hab_km2
Changuinola,BOCAS DEL TORO,129459.0,4000.1325276974812,32.4
Bocas del Toro,BOCAS DEL TORO,17274.0,424.69039822908553,40.7
Chiriquí Grande,BOCAS DEL TORO,12495.0,212.53916810675574,58.8
Renacimiento,CHIRIQUÍ,22429.0,527.6214161877988,42.5
San Félix,CHIRIQUÍ,6881.0,219.8626032602463,31.3
Barú,CHIRIQUÍ,56307.0,597.1136311822919,94.3
Alanje,CHIRIQUÍ,18877.0,439.9591597851036,42.9
Boquerón,CHIRIQUÍ,21001.0,297.6962205020051,70.5
Boquete,CHIRIQUÍ,23562.0,489.67150945466716,48.1
Bugaba,CHIRIQUÍ,92395.0,884.1453135189025,104.5
Gualaca,CHIRIQUÍ,9831.0,626.1535280511039,15.7
Tolé,CHIRIQUÍ,13193.0,481.46562679435266,27.4
San Lorenzo,CHIRIQUÍ,8031.0,666.0644069449078,12.1
Remedios,CHIRIQUÍ,4388.0,164.81926289789692,26.6
Dolega,CHIRIQUÍ,37678.0,250.52873714933895,150.4
Aguadulce,COCLÉ,49005.0,469.8792733163997,104.3
Antón,COCLÉ,59194.0,741.9867638636251,79.8
La Pintada,COCLÉ,29698.0,1030.6088554134842,28.8
Natá,COCLÉ,19741.0,610.935726076498,32.3
Olá,COCLÉ,6300.0,376.89589863644284,16.7
Penonomé,COCLÉ,104326.0,1708.5699428079902,61.1
Mironó,COMARCA NGÄBE BUGLÉ,21800.0,342.7044466151143,63.6
Kankintú,COMARCA NGÄBE BUGLÉ,45555.0,2418.489291164737,18.8
Kusapín,COMARCA NGÄBE BUGLÉ,27761.0,1748.3325927301396,15.9
Ñürüm,COMARCA NGÄBE BUGLÉ,17637.0,575.2539662577216,30.7
Müna,COMARCA NGÄBE BUGLÉ,47200.0,816.7277184909324,57.8
Nole Duima,COMARCA NGÄBE BUGLÉ,20709.0,164.5796349142425,125.8
Besiko,COMARCA NGÄBE BUGLÉ,31422.0,753.0262948798538,41.7
Santa Fé,VERAGUAS,18023.0,1922.0862145430767,9.4
San Francisco,VERAGUAS,10107.0,434.301780084701,23.3
La Mesa,VERAGUAS,12238.0,511.3398385391053,23.9
Santiago,VERAGUAS,109605.0,969.9258970116413,113.0
Atalaya,VERAGUAS,17507.0,156.0972286258226,112.2
Calobre,VERAGUAS,11666.0,805.8372770365022,14.5
Soná,VERAGUAS,28244.0,1498.4891290113762,18.8
Río de Jesús,VERAGUAS,4822.0,304.5276403147205,15.8
Las Palmas,VERAGUAS,18071.0,1017.9301243227648,17.8
Cañazas,VERAGUAS,16933.0,787.5223029233521,21.5
Chitré,HERRERA,60957.0,87.5334470162089,696.4
Parita,HERRERA,9695.0,352.85263522573655,27.5
Pesé,HERRERA,13009.0,288.3458344158942,45.1
Los Pozos,HERRERA,6928.0,385.64333813608164,18.0
Ocú,HERRERA,16116.0,619.7038922922953,26.0
Las Minas,HERRERA,6642.0,441.1862767875173,15.1
Santa María,HERRERA,8724.0,159.74022619638916,54.6
Pedasí,LOS SANTOS,4942.0,378.4038523394404,13.1
Pocrí,LOS SANTOS,3025.0,279.74403297752076,10.8
Tonosí,LOS SANTOS,8959.0,1281.9580184864947,7.0
Las Tablas,LOS SANTOS,30440.0,714.2669068338809,42.6
Guararé,LOS SANTOS,12107.0,212.7053165232937,56.9
Macaracas,LOS SANTOS,8965.0,504.3348200135237,17.8
Los Santos,LOS SANTOS,30028.0,432.7377398239043,69.4
Sambú,COMARCA EMBERÁ,2811.0,1300.3364562057775,2.2
Cémaco,COMARCA EMBERÁ,9547.0,3035.9595522332697,3.1
Chepigana,DARIÉN,32712.0,7078.382219136697,4.6
Pinogana,DARIÉN,21523.0,4942.40340378034,4.4
Donoso,COLÓN,15835.0,1825.6159052667183,8.7
Santa Isabel,COLÓN,4111.0,738.667591259706,5.6
Portobelo,COLÓN,10320.0,396.2350720705421,26.0
Chagres,COLÓN,10968.0,446.1067029034041,24.6
Colón,COLÓN,240722.0,1183.441971715257,203.4
Balboa,PANAMÁ,1989.0,332.2511287375423,6.0
Panamá,PANAMÁ,1086990.0,2049.2938359894983,530.4
San Miguelito,PANAMÁ,280777.0,50.065152285109825,5608.2
Chepo,PANAMÁ,65588.0,4926.277869075344,13.3
Chimán,PANAMÁ,3142.0,1012.3074757687018,3.1
Capira,PANAMÁ OESTE,45629.0,968.8292074283786,47.1
Chame,PANAMÁ OESTE,28535.0,373.45722992612764,76.4
San Carlos,PANAMÁ OESTE,22201.0,336.9586585836425,65.9
Taboga,PANAMÁ,1089.0,11.770856322108385,92.5
Arraiján,PANAMÁ OESTE,299079.0,415.8545295519839,719.2
La Chorrera,PANAMÁ OESTE,258221.0,786.6342287564541,328.3
Comarca Kuna Yala,COMARCA KUNA YALA,32016.0,2415.3842933770825,13.3
David,CHIRIQUÍ,156498.0,872.4246275209679,179.4
Mariato,VERAGUAS,5791.0,1403.2297276201293,4.1
Montijo,VERAGUAS,6784.0,775.5238718341952,8.7
